,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,2.1260440349578857,2.938061475753784,0.0982001582278481,,,,,,
391,,1.439371943473816,0.48625395569620256,1.7004191875457764,4.103501796722412,0.3955123081536549,4.103501796722412,1.4835646152496338,1.4835646152496338
782,,1.3221678733825684,0.5339200949367089,1.3700082302093506,4.50248646736145,0.5211796675191815,8.605988264083862,2.008328676223755,3.4918932914733887
1173,,1.237950086593628,0.5675435126582279,1.2666443586349487,4.385685920715332,0.5591791879642954,12.991674184799194,1.7730813026428223,5.264974594116211
1564,,1.2009997367858887,0.578125,1.202243447303772,4.247982501983643,0.5812500000304883,17.239656686782837,1.4544050693511963,6.719379663467407
1955,,1.1693403720855713,0.594442246835443,1.1500599384307861,4.391113519668579,0.6027173912891036,21.630770206451416,1.841200828552246,8.560580492019653
2346,,1.140665888786316,0.6049248417721519,1.1137099266052246,4.270128011703491,0.6170556266289537,25.900898218154907,1.5146656036376953,10.075246095657349
2737,,1.123726487159729,0.608682753164557,1.0915395021438599,4.405750751495361,0.6232456841584667,30.30664896965027,1.824150800704956,11.899396896362305
3128,,1.1357120275497437,0.6013647151898734,1.0677509307861328,4.591743230819702,0.63032688615877,34.89839220046997,2.179497718811035,14.07889461517334
3519,,1.094218134880066,0.6134295886075949,1.0540703535079956,4.685900449752808,0.6381633631561113,39.58429265022278,2.221757173538208,16.300651788711548
