,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,2.264230966567993,4.013535499572754,0.10106803797468354,,,,,,
391,,1.4739094972610474,0.4885284810126582,1.7697031497955322,4.1223273277282715,0.3816176469978469,4.1223273277282715,1.43674635887146,1.43674635887146
782,,1.3259278535842896,0.5409414556962026,1.3952224254608154,4.141968727111816,0.5154291879185631,8.264296054840088,1.5120420455932617,2.9487884044647217
1173,,1.2490777969360352,0.564181170886076,1.276029348373413,4.261311292648315,0.5585078324960626,12.525607347488403,1.492082118988037,4.440870523452759
