,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,training_finished,time_read_data_this_epoch,time_read_data_total,training_finish_requested
0,2.1739370822906494,4.360606670379639,0.09464003164556962,,,,,,,,
391,,1.4538285732269287,0.4849683544303797,1.7489161491394043,4.156721591949463,0.3808983375349313,4.156721591949463,True,1.5321965217590332,1.5321965217590332,True
