,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,2.2434539794921875,6.705936431884766,0.10166139240506329,,,,,,
391,,1.4521222114562988,0.4868473101265823,1.7574121952056885,4.300705194473267,0.38608935421994883,4.300705194473267,1.4350125789642334,1.4350125789642334
782,,1.348841667175293,0.5239319620253164,1.3806425333023071,4.475065469741821,0.515133471897496,8.775770664215088,1.8205277919769287,3.255540370941162
1173,,1.2647063732147217,0.5547863924050633,1.2899216413497925,4.48133397102356,0.5510669756880806,13.257104635238647,1.6770412921905518,4.932581663131714
1564,,1.24649178981781,0.5610166139240507,1.246896505355835,4.5593836307525635,0.5667439258616903,17.81648826599121,1.913935899734497,6.846517562866211
1955,,1.2205524444580078,0.5689280063291139,1.2080183029174805,4.269792795181274,0.5784007352788735,22.086281061172485,1.427659511566162,8.274177074432373
2346,,1.1914045810699463,0.5849485759493671,1.1772295236587524,4.299118518829346,0.5895820013092606,26.38539958000183,1.4451608657836914,9.719337940216064
