,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total,training_finished,training_finish_requested
0,3.4087929725646973,4.360606670379639,0.09464003164556962,,,,,,,,
391,,1.4538507461547852,0.4854628164556962,1.7489210367202759,4.605739116668701,0.380318893800916,4.605739116668701,1.8440189361572266,1.8440189361572266,,
782,,1.3482080698013306,0.5208662974683544,1.4066929817199707,4.648860692977905,0.5040640984959615,9.254599809646606,2.0089409351348877,3.8529598712921143,,
1173,,1.2485136985778809,0.5633900316455697,1.2984870672225952,4.749693870544434,0.545883951437138,14.00429368019104,2.0576014518737793,5.9105613231658936,,
1564,,1.2068735361099243,0.5722903481012658,1.2261284589767456,4.313429594039917,0.5712595908233272,18.317723274230957,1.4491891860961914,7.359750509262085,,
1955,,1.1954258680343628,0.5725870253164557,1.1710189580917358,4.466479063034058,0.5919637148032713,22.784202337265015,1.7809770107269287,9.140727519989014,,
2346,,1.1600252389907837,0.5988924050632911,1.1321848630905151,4.713555335998535,0.6053948209566229,27.49775767326355,2.0849294662475586,11.225656986236572,,
2737,,1.150727391242981,0.6016613924050633,1.1113953590393066,4.318579196929932,0.6152573529716647,31.81633687019348,1.4611380100250244,12.686794996261597,,
3128,,1.1613702774047852,0.6005735759493671,1.0874134302139282,4.586913108825684,0.6228180946139119,36.403249979019165,1.47074556350708,14.157540559768677,,
3519,,1.1268337965011597,0.6035403481012658,1.0721524953842163,4.455206871032715,0.6272738171203057,40.85845685005188,1.6968722343444824,15.85441279411316,,
3910,,1.1210355758666992,0.6119462025316456,1.0596028566360474,4.203486204147339,0.6325047953659312,45.06194305419922,1.453822135925293,17.308234930038452,True,True
