,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total,training_finish_requested
0,3.8564460277557373,15.723031997680664,0.0,,,,,,,
391,,1.360498070716858,0.5193829113924051,1.7404592037200928,13.710746765136719,0.41325527490557307,13.710746765136719,1.4916834831237793,1.4916834831237793,True
