,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,3.3381669521331787,2.938061475753784,0.0982001582278481,,,,,,
391,,1.438146710395813,0.48902294303797467,1.6997185945510864,4.574622392654419,0.39624360607713077,4.574622392654419,1.9396777153015137,1.9396777153015137
782,,1.3233537673950195,0.533623417721519,1.3707693815231323,4.313639163970947,0.5214274296980075,8.888261556625366,1.5247135162353516,3.4643912315368652
1173,,1.239494800567627,0.5663568037974683,1.2687236070632935,4.488085746765137,0.5584918478565752,13.376347303390503,1.7830474376678467,5.247438669204712
1564,,1.2030028104782104,0.5769382911392406,1.2048946619033813,4.349397897720337,0.5806505754780587,17.72574520111084,1.5092175006866455,6.756656169891357
1955,,1.1702688932418823,0.595431170886076,1.1522998809814453,4.425912618637085,0.6019181585525308,22.151657819747925,1.7408382892608643,8.497494459152222
2346,,1.1409991979599,0.6060126582278481,1.1155107021331787,4.535334348678589,0.6161724744397966,26.686992168426514,1.9186363220214844,10.416130781173706
