,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,3.8553340435028076,20.955799102783203,0.02857990506329114,,,,,,
391,,1.2974750995635986,0.5386669303797469,1.8286069631576538,21.653680562973022,0.4199848146084934,21.653680562973022,1.4654135704040527,1.4654135704040527
782,,1.1312812566757202,0.5966178797468354,1.1940816640853882,21.776490449905396,0.5822690217696187,43.43017101287842,1.4412760734558105,2.9066896438598633
1173,,1.031022548675537,0.6357792721518988,1.0154221057891846,22.19034719467163,0.6489729859182597,65.62051820755005,1.4676933288574219,4.374382972717285
1564,,0.9881458878517151,0.6522943037974683,0.9012113213539124,21.71104669570923,0.6892862851967287,87.33156490325928,1.4585447311401367,5.832927703857422
1955,,0.9378294348716736,0.6791930379746836,0.8051996827125549,22.11254096031189,0.7226542519486469,109.44410586357117,1.4562568664550781,7.2891845703125
2346,,0.9597527384757996,0.6733583860759493,0.723429799079895,22.093762397766113,0.7520260549795902,131.53786826133728,1.437706470489502,8.726891040802002
2737,,0.9643961787223816,0.6772151898734177,0.6600808501243591,21.752517461776733,0.7736692775012283,153.290385723114,1.437213659286499,10.164104700088501
3128,,0.9222849011421204,0.6939280063291139,0.5921002626419067,22.11586618423462,0.7979459718746298,175.40625190734863,1.4352595806121826,11.599364280700684
3519,,0.9731236696243286,0.6899723101265823,0.528308093547821,21.863085508346558,0.8215712915601023,197.2693374156952,1.4156346321105957,13.01499891281128
3910,,0.9759438633918762,0.6973892405063291,0.47676870226860046,22.145029067993164,0.8382432864373907,219.41436648368835,1.465771198272705,14.480770111083984
4301,,0.9757805466651917,0.6941257911392406,0.426689088344574,21.93533158302307,0.8555027174065485,241.34969806671143,1.4400668144226074,15.920836925506592
4692,,0.9560030698776245,0.7068829113924051,0.3767527937889099,21.637614011764526,0.8725463554949102,262.98731207847595,1.4156999588012695,17.33653688430786
