,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,3.7961628437042236,24.026639938354492,0.03164556962025317,,,,,,
391,,1.3316733837127686,0.5261075949367089,1.8297103643417358,22.084969997406006,0.41399856144205077,22.084969997406006,1.417905330657959,1.417905330657959
782,,1.1807067394256592,0.5822784810126582,1.2251558303833008,22.070126056671143,0.5709279091919169,44.15509605407715,1.4145338535308838,2.8324391841888428
1173,,1.1019020080566406,0.6206487341772152,1.063787817955017,22.05618691444397,0.6283927429515077,66.21128296852112,1.4012508392333984,4.233690023422241
1564,,1.022141695022583,0.646756329113924,0.9554668068885803,22.18736171722412,0.6693973785166241,88.39864468574524,1.4774580001831055,5.711148023605347
1955,,0.987103283405304,0.6624802215189873,0.8615097999572754,22.16892409324646,0.7016024616215845,110.5675687789917,1.481621503829956,7.192769527435303
2346,,0.9777703881263733,0.6676226265822784,0.7886009812355042,22.1144757270813,0.72959558822005,132.682044506073,1.445380449295044,8.638149976730347
