,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,2.2272188663482666,7.126401901245117,0.0982001582278481,,,,,,
391,,1.5691701173782349,0.4549050632911392,1.9230539798736572,4.857020139694214,0.3356257992632249,4.857020139694214,2.298539876937866,2.298539876937866
782,,1.4339666366577148,0.5012856012658228,1.510205864906311,4.709940195083618,0.4693574169102837,9.566960334777832,2.021390914916992,4.319930791854858
1173,,1.3297240734100342,0.5341178797468354,1.3884958028793335,4.750707387924194,0.5151814258159579,14.317667722702026,2.0590896606445312,6.37902045249939
