,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,2.18536114692688,4.360606670379639,0.09464003164556962,,,,,,
391,,1.452544093132019,0.48595727848101267,1.748514175415039,4.134264945983887,0.3808983375349313,4.134264945983887,1.5198252201080322,1.5198252201080322
782,,1.3417439460754395,0.5228441455696202,1.4041435718536377,4.477214813232422,0.5052549552429667,8.611479759216309,1.8018662929534912,3.3216915130615234
1173,,1.2434258460998535,0.5651700949367089,1.2927788496017456,4.7511374950408936,0.5472106777341165,13.362617254257202,2.1937434673309326,5.515434980392456
